Problem,Outlier,Outlier (wnid),Inliers,Inliers (wnid)
13,rat,n02331046,arrow blanket wheel lemonade house_of_cards blueberry belly mouse blouse alcohol,n02742753 n02849154 n04574999 n07926250 n03545756 n07743544 n13895262 n02330245 n02854926 n07884567
14,squirrel,n02355227,chicken chain biscuit rabbit old_world_buffalo calculator ax beverage kangaroo gravy,n01791625 n02999936 n07693972 n02324045 n02407959 n02938886 n02764044 n07881800 n01877134 n07838073
15,chestnut,n02388735,bicycle bedroom gravy frog concert_band bracelet cheese pasta ball shirt,n02834778 n02821627 n07838073 n01639765 n08249459 n02887970 n07850329 n07863374 n02778669 n04197391
16,bull,n02403325,giraffe book chocolate_fudge rock beef_wellington flag apple belt bed belly,n02439033 n02870526 n07605597 n09416076 n07862611 n03354903 n07739125 n02827606 n02818832 n13895262
17,beef,n02404186,carnation giraffe cereal_box candy squirrel beach butter rug arrow aisle,n04971211 n02439033 n02998003 n07597365 n02355227 n09217230 n07848338 n04118021 n02742753 n02694045
18,old_world_buffalo,n02407959,child candy brick shirt asparagus blouse concert_band cemetery bacon_and_eggs butterfly,n09918248 n07597365 n02897820 n04197391 n07719213 n02854926 n08249459 n08521623 n07862244 n02274259
19,antelope,n02419796,biscuit alcohol rabbit street bathrobe wheel bean bell chicken bridge,n07693972 n07884567 n02324045 n04334599 n02807616 n04574999 n07724943 n02824448 n01791625 n02898711
20,camel,n02437136,cage bathrobe button squirrel beverage grass giraffe bracelet cat pasta,n02936714 n02807616 n02928608 n02355227 n07881800 n12102133 n02439033 n02887970 n02121620 n07863374
21,giraffe,n02439033,bowl butter carnation beef chip puppy bedroom kangaroo old_world_buffalo aisle,n02880940 n07848338 n04971211 n02404186 n07712559 n01322604 n02821627 n01877134 n02407959 n02694045
22,ape,n02470325,cage blade beef street berry back kangaroo shirt beverage billboard,n02936714 n02848216 n02404186 n04334599 n13137409 n02767665 n01877134 n04197391 n07881800 n02839110
23,raccoon,n02508021,son pasta sugar bedroom bullet rat gravy blueberry bumper back,n10624074 n07863374 n07859284 n02821627 n02916350 n02331046 n07838073 n07743544 n02918595 n02767665
24,airplane,n02691156,breakfast alcohol kangaroo bluebird candy book button camera squirrel bumper,n07574602 n07884567 n01877134 n01562014 n07597365 n02870526 n02928608 n02942699 n02355227 n02918595
25,aisle,n02694045,gravy bullet mouse beef_wellington berry bluebird rug alcohol cherry beetle,n07838073 n02916350 n02330245 n07862611 n13137409 n01562014 n04118021 n07884567 n07757132 n02164464
26,ankle_brace,n02713003,book carrot son bathrobe chalk squirrel bedroom beach child cabbage,n02870526 n07730207 n10624074 n02807616 n03003091 n02355227 n02821627 n09217230 n09918248 n07713895
27,arch,n02733524,cafe beach sugar gravy bracelet belly cemetery cereal_box breakfast comb,n02935658 n09217230 n07859284 n07838073 n02887970 n13895262 n08521623 n02998003 n07574602 n03075097
28,arrow,n02742753,chapel cave blade billboard asparagus pasta bandage cage brush candy,n03007130 n09238926 n02848216 n02839110 n07719213 n07863374 n02785648 n02936714 n02908217 n07597365
29,ax,n02764044,beef sugar honey caterpillar ball chocolate_fudge bullet belly capitol cereal_box,n02404186 n07859284 n07858978 n02309337 n02778669 n07605597 n02916350 n13895262 n02956699 n02998003
30,back,n02767665,candy berry compact_disk child cabbage billboard chapel kangaroo beef chicken,n07597365 n13137409 n03079230 n09918554 n07713895 n02839110 n03007130 n01877134 n02404186 n01791625
31,ball,n02778669,apple compact_disk bread bedroom butter pasta bowl beverage blouse son,n07739125 n03079230 n07679356 n02821627 n07848338 n07863374 n02880940 n07881800 n02854926 n10624074
32,bandage,n02785648,alcohol arrow towel asparagus brake bowl rabbit concert_band bell cave,n07884567 n02742753 n04459362 n07719213 n02889646 n02880940 n02324045 n08249459 n02824448 n09238926
33,bathrobe,n02807616,chalk house_of_cards child chestnut saguaro rug compact_disk back chip ceiling,n03003091 n03545756 n09918248 n02388735 n11844371 n04118021 n03079230 n02767665 n07712559 n02990373
34,bed,n02818832,belt bean cheese bathrobe bread house_of_cards chalk compact_disk gravy butter,n02827606 n07724943 n07850329 n02807616 n07679356 n03545756 n03003091 n03079230 n07838073 n07848338
35,bedroom,n02821627,book arch chain bracelet giraffe rat breakfast bicycle ball beef_wellington,n02870526 n02733524 n02999936 n02887970 n02439033 n02331046 n07574602 n02834778 n02778669 n07862611
36,bell,n02824448,blade street beetle capitol bulldozer small_boat belly ax caterpillar son,n02848216 n04334599 n02164464 n02956699 n02916179 n04244997 n13895262 n02764044 n02309337 n10624074
37,belt,n02827606,comb rock bed book towel mouse bridge bathrobe bedroom wheel,n03075097 n09416076 n02818832 n02870526 n04459362 n02330245 n02898711 n02807616 n02821627 n04574999
38,bench,n02828884,syrup bull house_of_cards rabbit chicken bouquet chestnut blanket alligator beetle,n07859583 n02403325 n03545756 n02324045 n01791625 n02879087 n02388735 n02849154 n01698434 n02164464
39,bicycle,n02834778,bell gas_burner cherry saguaro child house_of_cards flag carnation cage bench,n02824448 n03422072 n07757132 n11844371 n09918248 n03545756 n03354903 n04971211 n02936714 n02828884
40,billboard,n02839110,arch towel chain aisle cafe belt bin concert_band syrup airplane,n02733524 n04459362 n02999936 n02694045 n02935658 n02827606 n02839910 n08249459 n07859583 n02691156
41,bin,n02839910,biscuit blade caterpillar compact_disk bed beach rug street gravy bread,n07693972 n02848216 n02309337 n03079230 n02818832 n09217230 n04118021 n04334599 n07838073 n07679356
42,blackboard,n02846511,wheel boot billboard lemonade belly raccoon ax old_world_buffalo asparagus gas_burner,n04574999 n02873520 n02839110 n07926250 n13895262 n02508021 n02764044 n02407959 n07719213 n03422072
43,blade,n02848216,beef bluebird belt brush puppy aisle syrup frog bedroom kangaroo,n02404186 n01562014 n02827606 n02908217 n01322604 n02694045 n07859583 n01639765 n02821627 n01877134
44,blanket,n02849154,apple giraffe cabbage calculator back chisel ankle_brace camel blade gravy,n07739125 n02439033 n07713895 n02938886 n02767665 n03020692 n02713003 n02437136 n02848216 n07838073
45,blouse,n02854926,bowl bread lemonade compact_disk alligator apple child carnation belly chestnut,n02880940 n07679356 n07926250 n03079230 n01698434 n07739125 n09918554 n04971211 n13895262 n02388735
46,book,n02870526,blouse apple camel camera old_world_buffalo belly small_boat towel rock beach,n02854926 n07739125 n02437136 n02942699 n02407959 n13895262 n04244997 n04459362 n09416076 n09217230
47,boot,n02873520,bathrobe blackboard sugar concert_band alcohol capitol berry bicycle towel cage,n02807616 n02846511 n07859284 n08249459 n07884567 n02956699 n13137409 n02834778 n04459362 n02936714
48,bouquet,n02879087,cabbage brake gravy chicken breakfast beer calculator beef puppy chip,n07713895 n02889646 n07838073 n01791625 n07574602 n07886849 n02938886 n02404186 n01322604 n07712559
49,bowl,n02880940,blueberry alcohol back candy aisle gravy canteen biscuit cave ape,n07743544 n07884567 n02767665 n07597365 n02694045 n07838073 n02952374 n07693972 n09238926 n02470325
50,bracelet,n02887970,bulldozer berry gas_burner giraffe chalk bench belly belt beef_wellington blade,n02916179 n13137409 n03422072 n02439033 n03003091 n02828884 n13895262 n02827606 n07862611 n02848216
51,brake,n02889646,book giraffe raccoon honey bicycle breakfast butter bumper bean ankle_brace,n02870526 n02439033 n02508021 n07858978 n02834778 n07574602 n07848338 n02918595 n07724943 n02713003
52,brick,n02897820,flag beef blueberry camera bicycle blade house_of_cards birch street bed,n03354903 n02404186 n07743544 n02942699 n02834778 n02848216 n03545756 n12281241 n04334599 n02818832
53,bridge,n02898711,canteen antelope car chip puppy butter blade belly towel lemonade,n02952374 n02419796 n02958343 n07712559 n01322604 n07848338 n02848216 n13895262 n04459362 n07926250
54,brush,n02908217,canteen rug bumper belly breakfast butterfly squirrel concert_band bin chain,n02952374 n04118021 n02918595 n13895262 n07574602 n02274259 n02355227 n08249459 n02839910 n02999936
55,bulldozer,n02916179,blackboard back bouquet house_of_cards chicken syrup birch puppy rock flag,n02846511 n02767665 n02879087 n03545756 n01791625 n07859583 n12281241 n01322604 n09416076 n03354903
56,bullet,n02916350,cage brick kangaroo bridge billboard bed squirrel blanket sugar butter,n02936714 n02897820 n01877134 n02898711 n02839110 n02818832 n02355227 n02849154 n07859284 n07848338
57,bumper,n02918595,child brick bulldozer raccoon birch rabbit pot biscuit ceiling chip,n09918554 n02897820 n02916179 n02508021 n12281241 n02324045 n03990474 n07693972 n02990373 n07712559
58,button,n02928608,butterfly bin brush raccoon house_of_cards back wheel boot bouquet cereal_box,n02274259 n02839910 n02908217 n02508021 n03545756 n02767665 n04574999 n02873520 n02879087 n02998003
59,cafe,n02935658,ankle_brace arrow bean squirrel bowl frog syrup car sleeve chisel,n02713003 n02742753 n07724943 n02355227 n02880940 n01639765 n07859583 n02958343 n04236377 n03020692
60,cage,n02936714,ankle_brace breakfast house_of_cards cherry puppy caterpillar bullet aisle belly pot,n02713003 n07574602 n03545756 n07757132 n01322604 n02309337 n02916350 n02694045 n13895262 n03990474
61,calculator,n02938886,bedroom blouse kangaroo towel cemetery butterfly beverage belly bullet beef,n02821627 n02854926 n01877134 n04459362 n08521623 n02274259 n07881800 n13895262 n02916350 n02404186
62,camera,n02942699,flag bicycle cheese birch honey canteen son cereal_box cat bed,n03354903 n02834778 n07850329 n12281241 n07858978 n02952374 n10624074 n02998003 n02121620 n02818832
63,canteen,n02952374,alcohol brick billboard honey chestnut bulldozer blackboard ball aisle breakfast,n07884567 n02897820 n02839110 n07858978 n02388735 n02916179 n02846511 n02778669 n02694045 n07574602
64,capitol,n02956699,aisle boot beach bathrobe squirrel grass bull carnation beer calculator,n02694045 n02873520 n09217230 n02807616 n02355227 n12102133 n02403325 n04971211 n07886849 n02938886
65,car,n02958343,beach bridge flag rug belt breakfast pasta bread grass brake,n09217230 n02898711 n03354903 n04118021 n02827606 n07574602 n07863374 n07679356 n12102133 n02889646
66,ceiling,n02990373,rock old_world_buffalo grass bull cage beef bandage arrow bed carnation,n09416076 n02407959 n12102133 n02403325 n02936714 n02404186 n02785648 n02742753 n02818832 n04971211
67,cereal_box,n02998003,celery book pot towel chip bench capitol brake cat cheese,n07730406 n02870526 n03990474 n04459362 n07712559 n02828884 n02956699 n02889646 n02121620 n07850329
68,chain,n02999936,blouse arrow car small_boat antelope flag sleeve brake bumper carnation,n02854926 n02742753 n02958343 n04244997 n02419796 n03354903 n04236377 n02889646 n02918595 n04971211
69,chalk,n03003091,blackboard raccoon back bicycle comb flag camel billboard mouse blouse,n02846511 n02508021 n02767665 n02834778 n03075097 n03354903 n02437136 n02839110 n02330245 n02854926
70,chapel,n03007130,bouquet asparagus cafe arch biscuit berry old_world_buffalo ax back chicken,n02879087 n07719213 n02935658 n02733524 n07693972 n13137409 n02407959 n02764044 n02767665 n01791625
71,chisel,n03020692,flag giraffe pasta chocolate_fudge cherry boot cage bacon_and_eggs son mouse,n03354903 n02439033 n07863374 n07605597 n07757132 n02873520 n02936714 n07862244 n10624074 n02330245
72,comb,n03075097,chalk rug bin bull street butter cemetery gravy arch cafe,n03003091 n04118021 n02839910 n02403325 n04334599 n07848338 n08521623 n07838073 n02733524 n02935658
73,compact_disk,n03079230,beer camel pasta house_of_cards bandage calculator sugar bulldozer butterfly car,n07886849 n02437136 n07863374 n03545756 n02785648 n02938886 n07859284 n02916179 n02274259 n02958343
74,flag,n03354903,beef bacon_and_eggs giraffe chain bridge gas_burner cave arch bullet sleeve,n02404186 n07862244 n02439033 n02999936 n02898711 n03422072 n09238926 n02733524 n02916350 n04236377
75,gas_burner,n03422072,blueberry bullet caterpillar bowl flag birch cafe blade arch belly,n07743544 n02916350 n02309337 n02880940 n03354903 n12281241 n02935658 n02848216 n02733524 n13895262
76,house_of_cards,n03545756,towel brush honey rat ape alcohol cat cheese bowl belt,n04459362 n02908217 n07858978 n02331046 n02470325 n07884567 n02121620 n07850329 n02880940 n02827606
77,pot,n03990474,button arrow breakfast blackboard antelope shirt pasta son bull gravy,n02928608 n02742753 n07574602 n02846511 n02419796 n04197391 n07863374 n10624074 n02403325 n07838073
78,rug,n04118021,bandage ankle_brace cabbage canteen brush cheese chain bell carrot chapel,n02785648 n02713003 n07713895 n02952374 n02908217 n07850329 n02999936 n02824448 n07730207 n03007130
79,shirt,n04197391,puppy bluebird canteen belt beach antelope cabbage alcohol squirrel bean,n01322604 n01562014 n02952374 n02827606 n09217230 n02419796 n07713895 n07884567 n02355227 n07724943
80,sleeve,n04236377,ax cafe asparagus arch giraffe carrot child camel alcohol grass,n02764044 n02935658 n07719213 n02733524 n02439033 n07730207 n09918248 n02437136 n07884567 n12102133
81,small_boat,n04244997,bullet bread cave belly antelope bean brush arrow arch bacon_and_eggs,n02916350 n07679356 n09238926 n13895262 n02419796 n07724943 n02908217 n02742753 n02733524 n07862244
82,street,n04334599,caterpillar alcohol blueberry beach breakfast belt lemonade squirrel child bowl,n02309337 n07884567 n07743544 n09217230 n07574602 n02827606 n07926250 n02355227 n09918554 n02880940
83,towel,n04459362,carrot squirrel bumper canteen mouse blanket bed alligator camera bacon_and_eggs,n07730207 n02355227 n02918595 n02952374 n02330245 n02849154 n02818832 n01698434 n02942699 n07862244
84,wheel,n04574999,gas_burner cabbage cemetery button beverage bandage old_world_buffalo bicycle bench apple,n03422072 n07713895 n08521623 n02928608 n07881800 n02785648 n02407959 n02834778 n02828884 n07739125
85,carnation,n04971211,bracelet bedroom beer arrow rock flag brush billboard pasta asparagus,n02887970 n02821627 n07886849 n02742753 n09416076 n03354903 n02908217 n02839110 n07863374 n07719213
86,breakfast,n07574602,aisle bouquet asparagus capitol cemetery canteen caterpillar gas_burner sugar apple,n02694045 n02879087 n07719213 n02956699 n08521623 n02952374 n02309337 n03422072 n07859284 n07739125
87,candy,n07597365,blade bedroom pasta saguaro squirrel camel bed button bell asparagus,n02848216 n02821627 n07863374 n11844371 n02355227 n02437136 n02818832 n02928608 n02824448 n07719213
88,chocolate_fudge,n07605597,belt breakfast candy bread billboard bulldozer beef_wellington chip blade airplane,n02827606 n07574602 n07597365 n07679356 n02839110 n02916179 n07862611 n07712559 n02848216 n02691156
89,bread,n07679356,carrot child small_boat aisle cage camel chocolate_fudge bacon_and_eggs candy apple,n07730207 n09918248 n04244997 n02694045 n02936714 n02437136 n07605597 n07862244 n07597365 n07739125
90,biscuit,n07693972,bench brake blueberry belt bridge asparagus brush antelope chalk old_world_buffalo,n02828884 n02889646 n07743544 n02827606 n02898711 n07719213 n02908217 n02419796 n03003091 n02407959
91,chip,n07712559,rug canteen mouse raccoon bandage puppy capitol brush sugar bowl,n04118021 n02952374 n02330245 n02508021 n02785648 n01322604 n02956699 n02908217 n07859284 n02880940
92,cabbage,n07713895,rock asparagus child bell cherry street bowl child chain blueberry,n09416076 n07719213 n09918554 n02824448 n07757132 n04334599 n02880940 n09918248 n02999936 n07743544
93,asparagus,n07719213,gravy arch shirt bowl cat bathrobe bench ankle_brace gas_burner pasta,n07838073 n02733524 n04197391 n02880940 n02121620 n02807616 n02828884 n02713003 n03422072 n07863374
94,bean,n07724943,bell chestnut belt cabbage blouse bacon_and_eggs arrow brush carrot bandage,n02824448 n02388735 n02827606 n07713895 n02854926 n07862244 n02742753 n02908217 n07730207 n02785648
95,carrot,n07730207,flag bowl blouse carnation pot cabbage ceiling billboard bench saguaro,n03354903 n02880940 n02854926 n04971211 n03990474 n07713895 n02990373 n02839110 n02828884 n11844371
96,celery,n07730406,bin brake chocolate_fudge bicycle cave bandage bullet comb squirrel butter,n02839910 n02889646 n07605597 n02834778 n09238926 n02785648 n02916350 n03075097 n02355227 n07848338
97,apple,n07739125,sugar blanket puppy caterpillar beef bed asparagus canteen celery bean,n07859284 n02849154 n01322604 n02309337 n02404186 n02818832 n07719213 n02952374 n07730406 n07724943
98,blueberry,n07743544,rabbit cheese bread alcohol cafe ax bedroom beef aisle flag,n02324045 n07850329 n07679356 n07884567 n02935658 n02764044 n02821627 n02404186 n02694045 n03354903
99,cherry,n07757132,bluebird bandage boot lemonade beach capitol bacon_and_eggs camera ankle_brace frog,n01562014 n02785648 n02873520 n07926250 n09217230 n02956699 n07862244 n02942699 n02713003 n01639765
100,gravy,n07838073,sleeve billboard chicken sugar bumper bracelet flag cabbage bed blueberry,n04236377 n02839110 n01791625 n07859284 n02918595 n02887970 n03354903 n07713895 n02818832 n07743544
101,butter,n07848338,blouse breakfast bread alcohol chestnut cheese ceiling antelope car lemonade,n02854926 n07574602 n07679356 n07884567 n02388735 n07850329 n02990373 n02419796 n02958343 n07926250
102,cheese,n07850329,bluebird bridge mouse belt arrow cereal_box street ax belly bread,n01562014 n02898711 n02330245 n02827606 n02742753 n02998003 n04334599 n02764044 n13895262 n07679356
103,honey,n07858978,syrup cereal_box cheese cafe arch house_of_cards carrot towel puppy back,n07859583 n02998003 n07850329 n02935658 n02733524 n03545756 n07730207 n04459362 n01322604 n02767665
104,sugar,n07859284,concert_band rock sleeve honey beach carrot car mouse bell bin,n08249459 n09416076 n04236377 n07858978 n09217230 n07730207 n02958343 n02330245 n02824448 n02839910
105,syrup,n07859583,honey canteen bicycle sleeve blueberry capitol cat shirt cemetery bread,n07858978 n02952374 n02834778 n04236377 n07743544 n02956699 n02121620 n04197391 n08521623 n07679356
106,bacon_and_eggs,n07862244,blade chestnut bullet biscuit bin arrow candy son comb compact_disk,n02848216 n02388735 n02916350 n07693972 n02839910 n02742753 n07597365 n10624074 n03075097 n03079230
107,beef_wellington,n07862611,cherry bell bed beach squirrel camera sleeve syrup bench ankle_brace,n07757132 n02824448 n02818832 n09217230 n02355227 n02942699 n04236377 n07859583 n02828884 n02713003
108,pasta,n07863374,bumper bowl calculator blouse squirrel pot bouquet chicken bed street,n02918595 n02880940 n02938886 n02854926 n02355227 n03990474 n02879087 n01791625 n02818832 n04334599
109,beverage,n07881800,berry rug butter kangaroo arch bed boot bluebird capitol blackboard,n13137409 n04118021 n07848338 n01877134 n02733524 n02818832 n02873520 n01562014 n02956699 n02846511
110,alcohol,n07884567,squirrel calculator butter arch chocolate_fudge cheese bumper cave rabbit child,n02355227 n02938886 n07848338 n02733524 n07605597 n07850329 n02918595 n09238926 n02324045 n09918554
111,beer,n07886849,chestnut airplane aisle rug blackboard celery pot compact_disk brush brick,n02388735 n02691156 n02694045 n04118021 n02846511 n07730406 n03990474 n03079230 n02908217 n02897820
112,lemonade,n07926250,rug raccoon comb son back rat cage bowl blueberry bluebird,n04118021 n02508021 n03075097 n10624074 n02767665 n02331046 n02936714 n02880940 n07743544 n01562014
113,concert_band,n08249459,syrup chip bed comb wheel child chalk chisel rug biscuit,n07859583 n07712559 n02818832 n03075097 n04574999 n09918248 n03003091 n03020692 n04118021 n07693972
114,cemetery,n08521623,alcohol wheel blouse chisel caterpillar bed flag chalk towel breakfast,n07884567 n04574999 n02854926 n03020692 n02309337 n02818832 n03354903 n03003091 n04459362 n07574602
115,beach,n09217230,kangaroo blueberry bull pasta arrow beetle child bicycle cereal_box car,n01877134 n07743544 n02403325 n07863374 n02742753 n02164464 n09918554 n02834778 n02998003 n02958343
116,cave,n09238926,ball bicycle bed sleeve bread flag camera bell street boot,n02778669 n02834778 n02818832 n04236377 n07679356 n03354903 n02942699 n02824448 n04334599 n02873520
117,rock,n09416076,bulldozer cereal_box old_world_buffalo blanket brush bin butter bluebird chicken son,n02916179 n02998003 n02407959 n02849154 n02908217 n02839910 n07848338 n01562014 n01791625 n10624074
118,child,n09918248,raccoon pasta chisel cereal_box chestnut alcohol bullet back birch bumper,n02508021 n07863374 n03020692 n02998003 n02388735 n07884567 n02916350 n02767665 n12281241 n02918595
119,child,n09918554,ax ape bread bell bedroom syrup wheel book beverage blouse,n02764044 n02470325 n07679356 n02824448 n02821627 n07859583 n04574999 n02870526 n07881800 n02854926
120,son,n10624074,alcohol kangaroo chestnut beer ax bluebird camera beef_wellington bull cabbage,n07884567 n01877134 n02388735 n07886849 n02764044 n01562014 n02942699 n07862611 n02403325 n07713895
121,saguaro,n11844371,bench bread wheel rabbit old_world_buffalo sugar raccoon boot compact_disk billboard,n02828884 n07679356 n04574999 n02324045 n02407959 n07859284 n02508021 n02873520 n03079230 n02839110
122,grass,n12102133,son cage blouse blueberry brush capitol bridge belt shirt lemonade,n10624074 n02936714 n02854926 n07743544 n02908217 n02956699 n02898711 n02827606 n04197391 n07926250
123,birch,n12281241,ankle_brace sugar cherry carnation bread bean rock small_boat sleeve caterpillar,n02713003 n07859284 n07757132 n04971211 n07679356 n07724943 n09416076 n04244997 n04236377 n02309337
124,berry,n13137409,pot rat billboard butter cherry chalk flag bed honey butterfly,n03990474 n02331046 n02839110 n07848338 n07757132 n03003091 n03354903 n02818832 n07858978 n02274259
125,belly,n13895262,brush belt gas_burner child giraffe alcohol cat towel bullet chain,n02908217 n02827606 n03422072 n09918248 n02439033 n07884567 n02121620 n04459362 n02916350 n02999936
